id,page,section,label,current_text,client_new_text,status,notes,content_path
HOME.HERO.KICKER,HOME,HERO,KICKER,Quality - Compliance - Value,,KEEP,,home.hero.kicker
HOME.HERO.TITLE,HOME,HERO,TITLE,Facilities support that keeps your business running,,KEEP,,home.hero.title
HOME.HERO.BODY,HOME,HERO,BODY,"QualFM helps clients outsource non-core facilities services so they can focus on core business operations. We deliver planned, preventative and reactive support with compliance at the center.",,KEEP,,home.hero.body
HOME.HERO.PRIMARYCTA,HOME,HERO,PRIMARYCTA,View Services,,KEEP,,home.hero.primaryCta
HOME.HERO.SECONDARYCTA,HOME,HERO,SECONDARYCTA,Contact Richard,,KEEP,,home.hero.secondaryCta
HOME.HERO.WHYTITLE,HOME,HERO,WHYTITLE,Why QualFM,,KEEP,,home.hero.whyTitle
HOME.HERO.WHYPOINTS_POINT_01.TEXT,HOME,HERO,TEXT,Integrated FM and technical maintenance delivery,,KEEP,,home.hero.whyPoints[id=POINT_01].text
HOME.HERO.WHYPOINTS_POINT_02.TEXT,HOME,HERO,TEXT,Safe Electric QC and F-Gas registered,,KEEP,,home.hero.whyPoints[id=POINT_02].text
HOME.HERO.WHYPOINTS_POINT_03.TEXT,HOME,HERO,TEXT,"Based in Portrane, serving sites nationwide",,KEEP,,home.hero.whyPoints[id=POINT_03].text
HOME.HERO.WHYPOINTS_POINT_04.TEXT,HOME,HERO,TEXT,+353 86 821 6215,,KEEP,,home.hero.whyPoints[id=POINT_04].text
HOME.HERO.WHYPOINTS_POINT_05.TEXT,HOME,HERO,TEXT,Fitout project delivery up to EUR 1.5m,,KEEP,,home.hero.whyPoints[id=POINT_05].text
HOME.HERO.WHYPOINTS_POINT_06.TEXT,HOME,HERO,TEXT,Planned preventative and reactive response model,,KEEP,,home.hero.whyPoints[id=POINT_06].text
HOME.HERO.WHYPOINTS_POINT_07.TEXT,HOME,HERO,TEXT,Independent compliance auditing and reporting,,KEEP,,home.hero.whyPoints[id=POINT_07].text
HOME.CORESERVICES.TITLE,HOME,CORESERVICES,TITLE,Core Services,,KEEP,,home.coreServices.title
HOME.CORESERVICES.PILLARS_PILLAR_01.TEXT,HOME,CORESERVICES,TEXT,Integrated Facilities & Maintenance Management,,KEEP,,home.coreServices.pillars[id=PILLAR_01].text
HOME.CORESERVICES.PILLARS_PILLAR_02.TEXT,HOME,CORESERVICES,TEXT,Fitout Projects up to EUR 1.5m,,KEEP,,home.coreServices.pillars[id=PILLAR_02].text
HOME.CORESERVICES.PILLARS_PILLAR_03.TEXT,HOME,CORESERVICES,TEXT,"Electrical Planned, Preventative & Reactive Maintenance",,KEEP,,home.coreServices.pillars[id=PILLAR_03].text
HOME.CORESERVICES.PILLARS_PILLAR_04.TEXT,HOME,CORESERVICES,TEXT,Mechanical Maintenance and Water Treatment,,KEEP,,home.coreServices.pillars[id=PILLAR_04].text
HOME.CORESERVICES.PILLARS_PILLAR_05.TEXT,HOME,CORESERVICES,TEXT,Building Fabric & Soft Services,,KEEP,,home.coreServices.pillars[id=PILLAR_05].text
HOME.CORESERVICES.PILLARS_PILLAR_06.TEXT,HOME,CORESERVICES,TEXT,Independent Compliance Auditing,,KEEP,,home.coreServices.pillars[id=PILLAR_06].text
HOME.SECTORS.TITLE,HOME,SECTORS,TITLE,Sectors We Support,,KEEP,,home.sectors.title
HOME.SECTORS.INTRO,HOME,SECTORS,INTRO,"Our team has deep experience in telecoms, healthcare and pharmaceutical operations, with active support across office, industrial and public-facing environments.",,KEEP,,home.sectors.intro
HOME.SECTORS.TAGS_SECTOR_01.TEXT,HOME,SECTORS,TEXT,Commercial Offices,,KEEP,,home.sectors.tags[id=SECTOR_01].text
HOME.SECTORS.TAGS_SECTOR_02.TEXT,HOME,SECTORS,TEXT,Telecom and Critical Environments,,KEEP,,home.sectors.tags[id=SECTOR_02].text
HOME.SECTORS.TAGS_SECTOR_03.TEXT,HOME,SECTORS,TEXT,Healthcare,,KEEP,,home.sectors.tags[id=SECTOR_03].text
HOME.SECTORS.TAGS_SECTOR_04.TEXT,HOME,SECTORS,TEXT,Pharmaceutical,,KEEP,,home.sectors.tags[id=SECTOR_04].text
HOME.SECTORS.TAGS_SECTOR_05.TEXT,HOME,SECTORS,TEXT,Industrial Sites,,KEEP,,home.sectors.tags[id=SECTOR_05].text
HOME.SECTORS.TAGS_SECTOR_06.TEXT,HOME,SECTORS,TEXT,Retail and Public-Facing Premises,,KEEP,,home.sectors.tags[id=SECTOR_06].text
HOME.FEEDBACK.TITLE,HOME,FEEDBACK,TITLE,Client Feedback,,KEEP,,home.feedback.title
HOME.FEEDBACK.INTRO,HOME,FEEDBACK,INTRO,What clients say about working with QualFM.,,KEEP,,home.feedback.intro
