id,page,section,block,current_block_text,client_new_block_text,notes
BLOCK:about.approach,ABOUT,APPROACH,approach,TITLE: Our Approach,,
BLOCK:about.approach.points[id=POINT_01],ABOUT,APPROACH,approach > points POINT_01,TEXT: Established in February 2025 by Richard Seaver,,
BLOCK:about.approach.points[id=POINT_02],ABOUT,APPROACH,approach > points POINT_02,"TEXT: 25 years of delivery experience across telecoms, healthcare and pharmaceutical sectors",,
BLOCK:about.approach.points[id=POINT_03],ABOUT,APPROACH,approach > points POINT_03,"TEXT: Built around quality service, top-class customer care and dependable compliance",,
BLOCK:about.approach.points[id=POINT_04],ABOUT,APPROACH,approach > points POINT_04,TEXT: Strong client alignment through practical understanding of operational goals,,
BLOCK:about.cta,ABOUT,CTA,cta,"BUTTON: Get in Touch
TITLE: Ready to Work Together?",,
BLOCK:about.hero,ABOUT,HERO,hero,"SUBTITLE: Quality, compliance and value across every site we support
TITLE: About QualFM",,
BLOCK:about.intro,ABOUT,INTRO,intro,TITLE: Who We Are,,
BLOCK:about.intro.paragraphs[id=PARA_01],ABOUT,INTRO,intro > paragraphs PARA_01,"TEXT: QualFM Ltd was established in February 2025 by Richard Seaver. With 25 years of delivery experience across telecoms, healthcare and pharmaceutical environments, QualFM was built to provide practical facilities and maintenance support with strong customer service and dependable technical execution.",,
BLOCK:about.intro.paragraphs[id=PARA_02],ABOUT,INTRO,intro > paragraphs PARA_02,"TEXT: Our goals are to deliver high-quality services with an emphasis on top-class customer service, quality workmanship and compliance through a dedicated team of professionals and technicians.",,
BLOCK:about.intro.paragraphs[id=PARA_03],ABOUT,INTRO,intro > paragraphs PARA_03,TEXT: We work closely with customers to build a meaningful understanding of their business and align delivery with strategic goals.,,
BLOCK:about.scope,ABOUT,SCOPE,scope,TITLE: Scope We Serve,,
BLOCK:about.scope.paragraphs[id=PARA_01],ABOUT,SCOPE,scope > paragraphs PARA_01,"TEXT: QualFM supports commercial offices, telecom and critical environments, healthcare, pharmaceutical facilities and other regulated or public-facing sites nationwide.",,
BLOCK:about.scope.paragraphs[id=PARA_02],ABOUT,SCOPE,scope > paragraphs PARA_02,"TEXT: Detailed technical capabilities, service line items and compliance credentials are listed on the Services page to avoid duplication across the website.",,
BLOCK:about.values,ABOUT,VALUES,values,TITLE: Our Values,,
